day,el día,m,1 - Core Essentials
year,el año,m,1 - Core Essentials
time/occasion,la vez,f,1 - Core Essentials
time/weather,el tiempo,m,1 - Core Essentials
person,la persona,f,1 - Core Essentials
man,el hombre,m,1 - Core Essentials
woman,la mujer,f,1 - Core Essentials
life,la vida,f,1 - Core Essentials
world,el mundo,m,1 - Core Essentials
house/home,la casa,f,1 - Core Essentials
work/job,el trabajo,m,1 - Core Essentials
country,el país,m,1 - Core Essentials
hand,la mano,f,1 - Core Essentials
part,la parte,f,1 - Core Essentials
place,el lugar,m,1 - Core Essentials
case/situation,el caso,m,1 - Core Essentials
thing,la cosa,f,1 - Core Essentials
child/boy,el niño,m,1 - Core Essentials
girl,la niña,f,1 - Core Essentials
moment,el momento,m,1 - Core Essentials
city,la ciudad,f,1 - Core Essentials
water,el agua,f,1 - Core Essentials
form/way/shape,la forma,f,1 - Core Essentials
name,el nombre,m,1 - Core Essentials
night,la noche,f,1 - Core Essentials
point,el punto,m,1 - Core Essentials
hour/time,la hora,f,1 - Core Essentials
government,el gobierno,m,1 - Core Essentials
state/condition,el estado,m,1 - Core Essentials
father,el padre,m,1 - Core Essentials
mother,la madre,f,1 - Core Essentials
family,la familia,f,1 - Core Essentials
friend (m),el amigo,m,1 - Core Essentials
friend (f),la amiga,f,1 - Core Essentials
problem,el problema,m,1 - Core Essentials
word,la palabra,f,1 - Core Essentials
people,la gente,f,1 - Core Essentials
number,el número,m,1 - Core Essentials
type/guy,el tipo,m,1 - Core Essentials
manner/way,la manera,f,1 - Core Essentials
money,el dinero,m,1 - Core Essentials
week,la semana,f,1 - Core Essentials
month,el mes,m,1 - Core Essentials
question,la pregunta,f,1 - Core Essentials
answer,la respuesta,f,1 - Core Essentials
road/path/way,el camino,m,1 - Core Essentials
eye,el ojo,m,1 - Core Essentials
face,la cara,f,1 - Core Essentials
time/instance,la vez,f,1 - Core Essentials
side,el lado,m,1 - Core Essentials
food/meal,la comida,f,2 - Everyday Life
bread,el pan,m,2 - Everyday Life
milk,la leche,f,2 - Everyday Life
coffee,el café,m,2 - Everyday Life
wine,el vino,m,2 - Everyday Life
beer,la cerveza,f,2 - Everyday Life
juice,el jugo,m,2 - Everyday Life
tea,el té,m,2 - Everyday Life
meat,la carne,f,2 - Everyday Life
chicken,el pollo,m,2 - Everyday Life
fish (food),el pescado,m,2 - Everyday Life
rice,el arroz,m,2 - Everyday Life
soup,la sopa,f,2 - Everyday Life
salad,la ensalada,f,2 - Everyday Life
cheese,el queso,m,2 - Everyday Life
egg,el huevo,m,2 - Everyday Life
fruit,la fruta,f,2 - Everyday Life
apple,la manzana,f,2 - Everyday Life
banana,el plátano,m,2 - Everyday Life
orange,la naranja,f,2 - Everyday Life
vegetable,la verdura,f,2 - Everyday Life
tomato,el tomate,m,2 - Everyday Life
onion,la cebolla,f,2 - Everyday Life
garlic,el ajo,m,2 - Everyday Life
breakfast,el desayuno,m,2 - Everyday Life
lunch,el almuerzo,m,2 - Everyday Life
dinner,la cena,f,2 - Everyday Life
restaurant,el restaurante,m,2 - Everyday Life
table,la mesa,f,2 - Everyday Life
chair,la silla,f,2 - Everyday Life
glass,el vaso,m,2 - Everyday Life
cup,la taza,f,2 - Everyday Life
plate/dish,el plato,m,2 - Everyday Life
bill/account,la cuenta,f,2 - Everyday Life
store/shop,la tienda,f,2 - Everyday Life
market,el mercado,m,2 - Everyday Life
supermarket,el supermercado,m,2 - Everyday Life
price,el precio,m,2 - Everyday Life
clothes,la ropa,f,2 - Everyday Life
shirt,la camisa,f,2 - Everyday Life
pants,el pantalón,m,2 - Everyday Life
shoe,el zapato,m,2 - Everyday Life
jacket,la chaqueta,f,2 - Everyday Life
dress,el vestido,m,2 - Everyday Life
skirt,la falda,f,2 - Everyday Life
hat,el sombrero,m,2 - Everyday Life
bed,la cama,f,2 - Everyday Life
bathroom,el baño,m,2 - Everyday Life
kitchen,la cocina,f,2 - Everyday Life
living room,la sala,f,2 - Everyday Life
door,la puerta,f,2 - Everyday Life
window,la ventana,f,2 - Everyday Life
floor/apartment,el piso,m,2 - Everyday Life
key,la llave,f,2 - Everyday Life
car,el coche,m,2 - Everyday Life
bus,el autobús,m,2 - Everyday Life
train,el tren,m,2 - Everyday Life
airplane,el avión,m,2 - Everyday Life
airport,el aeropuerto,m,2 - Everyday Life
station,la estación,f,2 - Everyday Life
street,la calle,f,2 - Everyday Life
neighborhood,el barrio,m,2 - Everyday Life
square/plaza,la plaza,f,2 - Everyday Life
hospital,el hospital,m,2 - Everyday Life
pharmacy,la farmacia,f,2 - Everyday Life
doctor,el médico,m,2 - Everyday Life
nurse,la enfermera,f,2 - Everyday Life
medicine,la medicina,f,2 - Everyday Life
bank,el banco,m,2 - Everyday Life
hotel,el hotel,m,2 - Everyday Life
phone,el teléfono,m,3 - People & Body
cell phone,el celular,m,3 - People & Body
computer,la computadora,f,3 - People & Body
