and,y,Coordinating,1 - Essential
or,o,Coordinating,1 - Essential
but,pero,Coordinating,1 - Essential
that/which,que,Subordinating,1 - Essential
because,porque,Subordinating,1 - Essential
if,si,Subordinating,1 - Essential
when,cuando,Subordinating,1 - Essential
as/like/since,como,Subordinating,1 - Essential
although/even though/even if,aunque,Subordinating,1 - Essential
while/meanwhile,mientras,Subordinating,1 - Essential
where,donde,Subordinating,1 - Essential
until/up to,hasta,Subordinating,1 - Essential
before,antes de,Subordinating,1 - Essential
after,después de,Subordinating,1 - Essential
in order to/for,para,Subordinating,1 - Essential
without,sin,Subordinating,1 - Essential
nor/neither,ni,Coordinating,1 - Essential
but rather/but instead,sino,Coordinating,1 - Essential
well/since/so,pues,Coordinating,1 - Essential
and (before i/hi),e,Coordinating,1 - Essential
so/therefore,así que,Consequence,2 - High Frequency
that's why/therefore,por eso,Consequence,2 - High Frequency
then/so,entonces,Consequence,2 - High Frequency
therefore/thus,por lo tanto,Consequence,2 - High Frequency
however/nevertheless,sin embargo,Contrast,2 - High Frequency
nevertheless/however,no obstante,Contrast,2 - High Frequency
despite/in spite of,a pesar de,Contrast,2 - High Frequency
on the other hand/instead,en cambio,Contrast,2 - High Frequency
on the contrary,al contrario,Contrast,2 - High Frequency
also/furthermore/besides,además,Addition,2 - High Frequency
also/too,también,Addition,2 - High Frequency
neither/not either,tampoco,Addition,2 - High Frequency
neither... nor,ni... ni,Addition,2 - High Frequency
both... and,tanto... como,Addition,2 - High Frequency
either... or,o... o,Addition,2 - High Frequency
since/given that,ya que,Cause,2 - High Frequency
given that,dado que,Cause,2 - High Frequency
due to/because of,debido a,Cause,2 - High Frequency
because of/due to,a causa de,Cause,2 - High Frequency
thanks to,gracias a,Cause,2 - High Frequency
so that/in order that,para que,Purpose,2 - High Frequency
in order to,a fin de,Purpose,2 - High Frequency
with the aim of,con el fin de,Purpose,2 - High Frequency
as long as/provided that,con tal de que,Condition,3 - Useful Intermediate
unless,a menos que,Condition,3 - Useful Intermediate
as long as/whenever,siempre que,Condition,3 - Useful Intermediate
in case/in the event that,en caso de que,Condition,3 - Useful Intermediate
unless,a no ser que,Condition,3 - Useful Intermediate
according to/as,según,Manner,3 - Useful Intermediate
as/in accordance with,conforme,Manner,3 - Useful Intermediate
just as/such as,tal como,Manner,3 - Useful Intermediate
as if,como si,Manner,3 - Useful Intermediate
as soon as,en cuanto,Time,3 - Useful Intermediate
as soon as,tan pronto como,Time,3 - Useful Intermediate
once/as soon as,una vez que,Time,3 - Useful Intermediate
since (time),desde que,Time,3 - Useful Intermediate
while/whereas,mientras que,Time,3 - Useful Intermediate
every time that,cada vez que,Time,3 - Useful Intermediate
after (with clause),después de que,Time,3 - Useful Intermediate
before (with clause),antes de que,Time,3 - Useful Intermediate
that is/in other words,es decir,Clarification,3 - Useful Intermediate
in other words/that is,o sea,Clarification,3 - Useful Intermediate
for example,por ejemplo,Clarification,3 - Useful Intermediate
furthermore/what's more,es más,Clarification,3 - Useful Intermediate
in fact,de hecho,Clarification,3 - Useful Intermediate
actually/in reality,en realidad,Clarification,3 - Useful Intermediate
by the way,por cierto,Clarification,3 - Useful Intermediate
as for/regarding,en cuanto a,Clarification,3 - Useful Intermediate
regarding/with respect to,respecto a,Clarification,3 - Useful Intermediate
even though/despite the fact that,a pesar de que,Concession,4 - Advanced
no matter how much,por más que,Concession,4 - Advanced
even when/even if,aun cuando,Concession,4 - Advanced
either... or (formal),bien... bien,Alternative,4 - Advanced
whether... or,ya... ya,Alternative,4 - Advanced
whether... or,sea... sea,Alternative,4 - Advanced
not only... but also,no solo... sino también,Addition,4 - Advanced
so much... that,tanto... que,Consequence,4 - Advanced
so... that,tan... que,Consequence,4 - Advanced
so that/in such a way that,de manera que,Consequence,4 - Advanced
so that/therefore,de modo que,Consequence,4 - Advanced
hence/that's why,de ahí que,Consequence,4 - Advanced
since/given that,puesto que,Cause,4 - Advanced
on the condition that,a condición de que,Condition,4 - Advanced
on the condition that,con la condición de que,Condition,4 - Advanced
as long as,siempre y cuando,Condition,4 - Advanced
unless/except that,salvo que,Condition,4 - Advanced
except that,excepto que,Condition,4 - Advanced
to top it all off,para colmo,Emphasis,4 - Advanced
on top of that,encima,Emphasis,4 - Advanced
the thing is,es que,Emphasis,4 - Advanced
what's more,lo que es más,Emphasis,4 - Advanced
above all/especially,sobre todo,Emphasis,4 - Advanced
in short/ultimately,en definitiva,Summary,4 - Advanced
in summary,en resumen,Summary,4 - Advanced
in conclusion,en conclusión,Summary,4 - Advanced
after all/when all is said and done,al fin y al cabo,Summary,4 - Advanced
anyway/in short,en fin,Summary,4 - Advanced
anyway/in the end (colloquial),total,Summary,4 - Advanced
when all is said and done,a fin de cuentas,Summary,4 - Advanced
ultimately/in the last resort,en última instancia,Summary,4 - Advanced
