Hello,Hola,Greetings,1 - Survival Phrases
Good morning,Buenos días,Greetings,1 - Survival Phrases
Good afternoon,Buenas tardes,Greetings,1 - Survival Phrases
Good evening/night,Buenas noches,Greetings,1 - Survival Phrases
Goodbye,Adiós,Greetings,1 - Survival Phrases
See you later,Hasta luego,Greetings,1 - Survival Phrases
See you tomorrow,Hasta mañana,Greetings,1 - Survival Phrases
Bye (informal),Chao,Greetings,1 - Survival Phrases
How are you? (informal),¿Cómo estás?,Greetings,1 - Survival Phrases
How are you? (formal),¿Cómo está usted?,Greetings,1 - Survival Phrases
Very well thank you,Muy bien gracias,Greetings,1 - Survival Phrases
Fine and you?,Bien y tú,Greetings,1 - Survival Phrases
What's your name? (informal),¿Cómo te llamas?,Greetings,1 - Survival Phrases
My name is...,Me llamo...,Greetings,1 - Survival Phrases
Nice to meet you,Mucho gusto,Greetings,1 - Survival Phrases
The pleasure is mine,El gusto es mío,Greetings,1 - Survival Phrases
Please,Por favor,Essentials,1 - Survival Phrases
Thank you,Gracias,Essentials,1 - Survival Phrases
You're welcome,De nada,Essentials,1 - Survival Phrases
Excuse me/Sorry,Perdón,Essentials,1 - Survival Phrases
I'm sorry,Lo siento,Essentials,1 - Survival Phrases
No problem,No hay problema,Essentials,1 - Survival Phrases
It's okay/alright,Está bien,Essentials,1 - Survival Phrases
Agreed/Okay,De acuerdo,Essentials,1 - Survival Phrases
Of course/Sure,Claro,Essentials,1 - Survival Phrases
I don't understand,No entiendo,Conversation Tools,1 - Survival Phrases
Can you repeat?,¿Puede repetir?,Conversation Tools,1 - Survival Phrases
Can you speak slower?,¿Puede hablar más despacio?,Conversation Tools,1 - Survival Phrases
What does ... mean?,¿Qué significa...?,Conversation Tools,1 - Survival Phrases
How do you say...?,¿Cómo se dice...?,Conversation Tools,1 - Survival Phrases
Do you speak English?,¿Habla inglés?,Conversation Tools,1 - Survival Phrases
I speak a little Spanish,Hablo un poco de español,Conversation Tools,1 - Survival Phrases
I don't know,No sé,Conversation Tools,1 - Survival Phrases
I don't remember,No recuerdo,Conversation Tools,1 - Survival Phrases
I have a question,Tengo una pregunta,Conversation Tools,1 - Survival Phrases
What time is it?,¿Qué hora es?,Practical,2 - Everyday Practical
How much does it cost?,¿Cuánto cuesta?,Practical,2 - Everyday Practical
Where is...?,¿Dónde está...?,Practical,2 - Everyday Practical
How do I get to...?,¿Cómo llego a...?,Practical,2 - Everyday Practical
To the right,A la derecha,Practical,2 - Everyday Practical
To the left,A la izquierda,Practical,2 - Everyday Practical
Straight ahead,Todo recto,Practical,2 - Everyday Practical
Do you have...?,¿Tiene...?,Practical,2 - Everyday Practical
I would like...,Quisiera...,Practical,2 - Everyday Practical
I would like...,Me gustaría...,Practical,2 - Everyday Practical
The bill please,La cuenta por favor,Practical,2 - Everyday Practical
Is service included?,¿Está incluido el servicio?,Practical,2 - Everyday Practical
A table for two,Una mesa para dos,Practical,2 - Everyday Practical
Do you recommend...?,¿Me recomienda...?,Practical,2 - Everyday Practical
To go/takeaway,Para llevar,Practical,2 - Everyday Practical
What's wrong with you?,¿Qué te pasa?,Conversation,2 - Everyday Practical
What happened?,¿Qué pasó?,Conversation,2 - Everyday Practical
What's new?,¿Qué hay de nuevo?,Conversation,2 - Everyday Practical
Nothing special,Nada en especial,Conversation,2 - Everyday Practical
Really? / Seriously?,¿En serio?,Conversation,2 - Everyday Practical
How great! / That's great!,¡Qué bien!,Conversation,2 - Everyday Practical
What a shame!,¡Qué pena!,Conversation,2 - Everyday Practical
What a pity!,¡Qué lástima!,Conversation,2 - Everyday Practical
What luck! / How lucky!,¡Qué suerte!,Conversation,2 - Everyday Practical
How awful!,¡Qué horror!,Conversation,2 - Everyday Practical
It depends,Depende,Conversation,2 - Everyday Practical
Sometimes,A veces,Conversation,2 - Everyday Practical
From time to time,De vez en cuando,Conversation,2 - Everyday Practical
Little by little,Poco a poco,Conversation,2 - Everyday Practical
More or less,Más o menos,Conversation,2 - Everyday Practical
Above all/especially,Sobre todo,Conversation,2 - Everyday Practical
In the end/finally,Al final,Conversation,2 - Everyday Practical
At the beginning,Al principio,Conversation,2 - Everyday Practical
However/nevertheless,Sin embargo,Conversation,2 - Everyday Practical
That's why/therefore,Por eso,Conversation,2 - Everyday Practical
To be hungry,Tener hambre,Useful Expressions,3 - Idiomatic
To be thirsty,Tener sed,Useful Expressions,3 - Idiomatic
To be sleepy,Tener sueño,Useful Expressions,3 - Idiomatic
To be cold,Tener frío,Useful Expressions,3 - Idiomatic
