front,back,pos,claude_classification
day,el día,NOUN,1 - Core Essentials
year,el año,NOUN,1 - Core Essentials
time/occasion,la vez,NOUN,1 - Core Essentials
time/weather,el tiempo,NOUN,1 - Core Essentials
person,la persona,NOUN,1 - Core Essentials
man,el hombre,NOUN,1 - Core Essentials
woman,la mujer,NOUN,1 - Core Essentials
life,la vida,NOUN,1 - Core Essentials
world,el mundo,NOUN,1 - Core Essentials
house/home,la casa,NOUN,1 - Core Essentials
work/job,el trabajo,NOUN,1 - Core Essentials
country,el país,NOUN,1 - Core Essentials
hand,la mano,NOUN,1 - Core Essentials
part,la parte,NOUN,1 - Core Essentials
place,el lugar,NOUN,1 - Core Essentials
case/situation,el caso,NOUN,1 - Core Essentials
thing,la cosa,NOUN,1 - Core Essentials
child/boy,el niño,NOUN,1 - Core Essentials
girl,la niña,NOUN,1 - Core Essentials
moment,el momento,NOUN,1 - Core Essentials
city,la ciudad,NOUN,1 - Core Essentials
water,el agua,NOUN,1 - Core Essentials
form/way/shape,la forma,NOUN,1 - Core Essentials
name,el nombre,NOUN,1 - Core Essentials
night,la noche,NOUN,1 - Core Essentials
point,el punto,NOUN,1 - Core Essentials
hour/time,la hora,NOUN,1 - Core Essentials
government,el gobierno,NOUN,1 - Core Essentials
state/condition,el estado,NOUN,1 - Core Essentials
father,el padre,NOUN,1 - Core Essentials
mother,la madre,NOUN,1 - Core Essentials
family,la familia,NOUN,1 - Core Essentials
friend (m),el amigo,NOUN,1 - Core Essentials
friend (f),la amiga,NOUN,1 - Core Essentials
problem,el problema,NOUN,1 - Core Essentials
word,la palabra,NOUN,1 - Core Essentials
people,la gente,NOUN,1 - Core Essentials
number,el número,NOUN,1 - Core Essentials
type/guy,el tipo,NOUN,1 - Core Essentials
manner/way,la manera,NOUN,1 - Core Essentials
money,el dinero,NOUN,1 - Core Essentials
week,la semana,NOUN,1 - Core Essentials
month,el mes,NOUN,1 - Core Essentials
question,la pregunta,NOUN,1 - Core Essentials
answer,la respuesta,NOUN,1 - Core Essentials
road/path/way,el camino,NOUN,1 - Core Essentials
eye,el ojo,NOUN,1 - Core Essentials
face,la cara,NOUN,1 - Core Essentials
time/instance,la vez,NOUN,1 - Core Essentials
side,el lado,NOUN,1 - Core Essentials
