rank,phrase,translation,category,tier
1,Hola,Hello,Greetings,1 - Survival Phrases
2,Buenos días,Good morning,Greetings,1 - Survival Phrases
3,Buenas tardes,Good afternoon,Greetings,1 - Survival Phrases
4,Buenas noches,Good evening/night,Greetings,1 - Survival Phrases
5,Adiós,Goodbye,Greetings,1 - Survival Phrases
6,Hasta luego,See you later,Greetings,1 - Survival Phrases
7,Hasta mañana,See you tomorrow,Greetings,1 - Survival Phrases
8,Chao,Bye (informal),Greetings,1 - Survival Phrases
9,¿Cómo estás?,How are you? (informal),Greetings,1 - Survival Phrases
10,¿Cómo está usted?,How are you? (formal),Greetings,1 - Survival Phrases
11,Muy bien gracias,Very well thank you,Greetings,1 - Survival Phrases
12,Bien y tú,Fine and you?,Greetings,1 - Survival Phrases
13,¿Cómo te llamas?,What's your name? (informal),Greetings,1 - Survival Phrases
14,Me llamo...,My name is...,Greetings,1 - Survival Phrases
15,Mucho gusto,Nice to meet you,Greetings,1 - Survival Phrases
16,El gusto es mío,The pleasure is mine,Greetings,1 - Survival Phrases
17,Por favor,Please,Essentials,1 - Survival Phrases
18,Gracias,Thank you,Essentials,1 - Survival Phrases
19,De nada,You're welcome,Essentials,1 - Survival Phrases
20,Perdón,Excuse me/Sorry,Essentials,1 - Survival Phrases
21,Lo siento,I'm sorry,Essentials,1 - Survival Phrases
22,No hay problema,No problem,Essentials,1 - Survival Phrases
23,Está bien,It's okay/alright,Essentials,1 - Survival Phrases
24,De acuerdo,Agreed/Okay,Essentials,1 - Survival Phrases
25,Claro,Of course/Sure,Essentials,1 - Survival Phrases
26,No entiendo,I don't understand,Conversation Tools,1 - Survival Phrases
27,¿Puede repetir?,Can you repeat?,Conversation Tools,1 - Survival Phrases
28,¿Puede hablar más despacio?,Can you speak slower?,Conversation Tools,1 - Survival Phrases
29,¿Qué significa...?,What does ... mean?,Conversation Tools,1 - Survival Phrases
30,¿Cómo se dice...?,How do you say...?,Conversation Tools,1 - Survival Phrases
31,¿Habla inglés?,Do you speak English?,Conversation Tools,1 - Survival Phrases
32,Hablo un poco de español,I speak a little Spanish,Conversation Tools,1 - Survival Phrases
33,No sé,I don't know,Conversation Tools,1 - Survival Phrases
34,No recuerdo,I don't remember,Conversation Tools,1 - Survival Phrases
35,Tengo una pregunta,I have a question,Conversation Tools,1 - Survival Phrases
36,¿Qué hora es?,What time is it?,Practical,2 - Everyday Practical
37,¿Cuánto cuesta?,How much does it cost?,Practical,2 - Everyday Practical
38,¿Dónde está...?,Where is...?,Practical,2 - Everyday Practical
39,¿Cómo llego a...?,How do I get to...?,Practical,2 - Everyday Practical
40,A la derecha,To the right,Practical,2 - Everyday Practical
41,A la izquierda,To the left,Practical,2 - Everyday Practical
42,Todo recto,Straight ahead,Practical,2 - Everyday Practical
43,¿Tiene...?,Do you have...?,Practical,2 - Everyday Practical
44,Quisiera...,I would like...,Practical,2 - Everyday Practical
45,Me gustaría...,I would like...,Practical,2 - Everyday Practical
46,La cuenta por favor,The bill please,Practical,2 - Everyday Practical
47,¿Está incluido el servicio?,Is service included?,Practical,2 - Everyday Practical
48,Una mesa para dos,A table for two,Practical,2 - Everyday Practical
49,¿Me recomienda...?,Do you recommend...?,Practical,2 - Everyday Practical
50,Para llevar,To go/takeaway,Practical,2 - Everyday Practical
51,¿Qué te pasa?,What's wrong with you?,Conversation,2 - Everyday Practical
52,¿Qué pasó?,What happened?,Conversation,2 - Everyday Practical
53,¿Qué hay de nuevo?,What's new?,Conversation,2 - Everyday Practical
54,Nada en especial,Nothing special,Conversation,2 - Everyday Practical
55,¿En serio?,Really? / Seriously?,Conversation,2 - Everyday Practical
56,¡Qué bien!,How great! / That's great!,Conversation,2 - Everyday Practical
57,¡Qué pena!,What a shame!,Conversation,2 - Everyday Practical
58,¡Qué lástima!,What a pity!,Conversation,2 - Everyday Practical
59,¡Qué suerte!,What luck! / How lucky!,Conversation,2 - Everyday Practical
60,¡Qué horror!,How awful!,Conversation,2 - Everyday Practical
61,Depende,It depends,Conversation,2 - Everyday Practical
62,A veces,Sometimes,Conversation,2 - Everyday Practical
63,De vez en cuando,From time to time,Conversation,2 - Everyday Practical
64,Poco a poco,Little by little,Conversation,2 - Everyday Practical
65,Más o menos,More or less,Conversation,2 - Everyday Practical
66,Sobre todo,Above all/especially,Conversation,2 - Everyday Practical
67,Al final,In the end/finally,Conversation,2 - Everyday Practical
68,Al principio,At the beginning,Conversation,2 - Everyday Practical
