Hola,Hello,Greetings,1 - Survival Phrases
Buenos días,Good morning,Greetings,1 - Survival Phrases
Buenas tardes,Good afternoon,Greetings,1 - Survival Phrases
Buenas noches,Good evening/night,Greetings,1 - Survival Phrases
Adiós,Goodbye,Greetings,1 - Survival Phrases
Hasta luego,See you later,Greetings,1 - Survival Phrases
Hasta mañana,See you tomorrow,Greetings,1 - Survival Phrases
Chao,Bye (informal),Greetings,1 - Survival Phrases
¿Cómo estás?,How are you? (informal),Greetings,1 - Survival Phrases
¿Cómo está usted?,How are you? (formal),Greetings,1 - Survival Phrases
Muy bien gracias,Very well thank you,Greetings,1 - Survival Phrases
Bien y tú,Fine and you?,Greetings,1 - Survival Phrases
¿Cómo te llamas?,What's your name? (informal),Greetings,1 - Survival Phrases
Me llamo...,My name is...,Greetings,1 - Survival Phrases
Mucho gusto,Nice to meet you,Greetings,1 - Survival Phrases
El gusto es mío,The pleasure is mine,Greetings,1 - Survival Phrases
Por favor,Please,Essentials,1 - Survival Phrases
Gracias,Thank you,Essentials,1 - Survival Phrases
De nada,You're welcome,Essentials,1 - Survival Phrases
Perdón,Excuse me/Sorry,Essentials,1 - Survival Phrases
Lo siento,I'm sorry,Essentials,1 - Survival Phrases
No hay problema,No problem,Essentials,1 - Survival Phrases
Está bien,It's okay/alright,Essentials,1 - Survival Phrases
De acuerdo,Agreed/Okay,Essentials,1 - Survival Phrases
Claro,Of course/Sure,Essentials,1 - Survival Phrases
No entiendo,I don't understand,Conversation Tools,1 - Survival Phrases
¿Puede repetir?,Can you repeat?,Conversation Tools,1 - Survival Phrases
¿Puede hablar más despacio?,Can you speak slower?,Conversation Tools,1 - Survival Phrases
¿Qué significa...?,What does ... mean?,Conversation Tools,1 - Survival Phrases
¿Cómo se dice...?,How do you say...?,Conversation Tools,1 - Survival Phrases
¿Habla inglés?,Do you speak English?,Conversation Tools,1 - Survival Phrases
Hablo un poco de español,I speak a little Spanish,Conversation Tools,1 - Survival Phrases
No sé,I don't know,Conversation Tools,1 - Survival Phrases
No recuerdo,I don't remember,Conversation Tools,1 - Survival Phrases
Tengo una pregunta,I have a question,Conversation Tools,1 - Survival Phrases
¿Qué hora es?,What time is it?,Practical,2 - Everyday Practical
¿Cuánto cuesta?,How much does it cost?,Practical,2 - Everyday Practical
¿Dónde está...?,Where is...?,Practical,2 - Everyday Practical
¿Cómo llego a...?,How do I get to...?,Practical,2 - Everyday Practical
A la derecha,To the right,Practical,2 - Everyday Practical
A la izquierda,To the left,Practical,2 - Everyday Practical
Todo recto,Straight ahead,Practical,2 - Everyday Practical
¿Tiene...?,Do you have...?,Practical,2 - Everyday Practical
Quisiera...,I would like...,Practical,2 - Everyday Practical
Me gustaría...,I would like...,Practical,2 - Everyday Practical
La cuenta por favor,The bill please,Practical,2 - Everyday Practical
¿Está incluido el servicio?,Is service included?,Practical,2 - Everyday Practical
Una mesa para dos,A table for two,Practical,2 - Everyday Practical
¿Me recomienda...?,Do you recommend...?,Practical,2 - Everyday Practical
Para llevar,To go/takeaway,Practical,2 - Everyday Practical
¿Qué te pasa?,What's wrong with you?,Conversation,2 - Everyday Practical
¿Qué pasó?,What happened?,Conversation,2 - Everyday Practical
¿Qué hay de nuevo?,What's new?,Conversation,2 - Everyday Practical
Nada en especial,Nothing special,Conversation,2 - Everyday Practical
¿En serio?,Really? / Seriously?,Conversation,2 - Everyday Practical
¡Qué bien!,How great! / That's great!,Conversation,2 - Everyday Practical
¡Qué pena!,What a shame!,Conversation,2 - Everyday Practical
¡Qué lástima!,What a pity!,Conversation,2 - Everyday Practical
¡Qué suerte!,What luck! / How lucky!,Conversation,2 - Everyday Practical
¡Qué horror!,How awful!,Conversation,2 - Everyday Practical
Depende,It depends,Conversation,2 - Everyday Practical
A veces,Sometimes,Conversation,2 - Everyday Practical
De vez en cuando,From time to time,Conversation,2 - Everyday Practical
Poco a poco,Little by little,Conversation,2 - Everyday Practical
Más o menos,More or less,Conversation,2 - Everyday Practical
