spanish,english
¡Intentemos algo!,Let's try something.
Tengo que irme a dormir.,I have to go to sleep.
¿Qué estás haciendo?,What are you doing?
¿Qué es eso?,What is it?
¡Hoy es 18 de junio y es el cumpleaños de Muiriel!,Today is June 18th and it is Muiriel's birthday!
"¡Feliz cumpleaños, Muiriel!","Happy birthday, Muiriel!"
"Ahora, Muiriel tiene 20 años.",Muiriel is 20 now.
"La contraseña es ""Muiriel"".","The password is ""Muiriel""."
Volveré pronto.,I will be back soon.
No tengo palabras.,I'm at a loss for words.
Esto no acabará nunca.,This is never going to end.
Simplemente no sé qué decir...,I just don't know what to say.
Era un conejo malo.,That was an evil bunny.
